flux_component,occurrence_count,likely_classification,proposed_direction,related_state_behavior,complexity,notes
flux:button,168,"Likely Free or common primitive (verify public docs)","MaryUI/daisyUI/Blade/Alpine reimplementation; preserve Livewire bindings","Livewire wire:* / PHP Flux:: where present",Complex,"Measured at pinned commit; vendor not inspected"
flux:input,111,"Likely Free or common primitive (verify public docs)","MaryUI/daisyUI/Blade/Alpine reimplementation; preserve Livewire bindings","Livewire wire:* / PHP Flux:: where present",Complex,"Measured at pinned commit; vendor not inspected"
flux:heading,92,"Likely Free or common primitive (verify public docs)","MaryUI/daisyUI/Blade/Alpine reimplementation; preserve Livewire bindings","Livewire wire:* / PHP Flux:: where present",Complex,"Measured at pinned commit; vendor not inspected"
flux:text,75,"Likely Free or common primitive (verify public docs)","MaryUI/daisyUI/Blade/Alpine reimplementation; preserve Livewire bindings","Livewire wire:* / PHP Flux:: where present",Complex,"Measured at pinned commit; vendor not inspected"
flux:subheading,55,"Likely Free or common primitive (verify public docs)","MaryUI/daisyUI/Blade/Alpine reimplementation; preserve Livewire bindings","Livewire wire:* / PHP Flux:: where present",Complex,"Measured at pinned commit; vendor not inspected"
flux:modal.trigger,45,"Likely Free or common primitive (verify public docs)","MaryUI/daisyUI/Blade/Alpine reimplementation; preserve Livewire bindings","Livewire wire:* / PHP Flux:: where present",Complex,"Measured at pinned commit; vendor not inspected"
flux:modal,36,"Likely Free or common primitive (verify public docs)","MaryUI/daisyUI/Blade/Alpine reimplementation; preserve Livewire bindings","Livewire wire:* / PHP Flux:: where present",Complex,"Measured at pinned commit; vendor not inspected"
flux:menu.item,34,"Likely Free or common primitive (verify public docs)","MaryUI/daisyUI/Blade/Alpine reimplementation; preserve Livewire bindings","Livewire wire:* / PHP Flux:: where present",Complex,"Measured at pinned commit; vendor not inspected"
flux:spacer,34,"Likely Free or common primitive (verify public docs)","MaryUI/daisyUI/Blade/Alpine reimplementation; preserve Livewire bindings","Livewire wire:* / PHP Flux:: where present",Moderate,"Measured at pinned commit; vendor not inspected"
flux:separator,33,"Likely Free or common primitive (verify public docs)","MaryUI/daisyUI/Blade/Alpine reimplementation; preserve Livewire bindings","Livewire wire:* / PHP Flux:: where present",Moderate,"Measured at pinned commit; vendor not inspected"
flux:error,30,"Likely Free or common primitive (verify public docs)","MaryUI/daisyUI/Blade/Alpine reimplementation; preserve Livewire bindings","Livewire wire:* / PHP Flux:: where present",Moderate,"Measured at pinned commit; vendor not inspected"
flux:badge,29,"Likely Free or common primitive (verify public docs)","MaryUI/daisyUI/Blade/Alpine reimplementation; preserve Livewire bindings","Livewire wire:* / PHP Flux:: where present",Moderate,"Measured at pinned commit; vendor not inspected"
flux:label,27,"Likely Free or common primitive (verify public docs)","MaryUI/daisyUI/Blade/Alpine reimplementation; preserve Livewire bindings","Livewire wire:* / PHP Flux:: where present",Moderate,"Measured at pinned commit; vendor not inspected"
flux:field,27,"Likely Free or common primitive (verify public docs)","MaryUI/daisyUI/Blade/Alpine reimplementation; preserve Livewire bindings","Livewire wire:* / PHP Flux:: where present",Moderate,"Measured at pinned commit; vendor not inspected"
flux:navlist.item,23,"Likely advanced/Pro-adjacent (verify public docs; do not open vendor)","MaryUI/daisyUI/Blade/Alpine reimplementation; preserve Livewire bindings","Livewire wire:* / PHP Flux:: where present",Moderate,"Measured at pinned commit; vendor not inspected"
flux:callout,20,"Likely Free or common primitive (verify public docs)","MaryUI/daisyUI/Blade/Alpine reimplementation; preserve Livewire bindings","Livewire wire:* / PHP Flux:: where present",Moderate,"Measured at pinned commit; vendor not inspected"
flux:callout.heading,19,"Likely Free or common primitive (verify public docs)","MaryUI/daisyUI/Blade/Alpine reimplementation; preserve Livewire bindings","Livewire wire:* / PHP Flux:: where present",Moderate,"Measured at pinned commit; vendor not inspected"
flux:callout.text,19,"Likely Free or common primitive (verify public docs)","MaryUI/daisyUI/Blade/Alpine reimplementation; preserve Livewire bindings","Livewire wire:* / PHP Flux:: where present",Moderate,"Measured at pinned commit; vendor not inspected"
flux:avatar,19,"Likely Free or common primitive (verify public docs)","MaryUI/daisyUI/Blade/Alpine reimplementation; preserve Livewire bindings","Livewire wire:* / PHP Flux:: where present",Moderate,"Measured at pinned commit; vendor not inspected"
flux:menu,14,"Likely Free or common primitive (verify public docs)","MaryUI/daisyUI/Blade/Alpine reimplementation; preserve Livewire bindings","Livewire wire:* / PHP Flux:: where present",Complex,"Measured at pinned commit; vendor not inspected"
